MEMBER,TOTAL
Seoyeon,51
Hyerin,4
Jiwoo,22
Chaeyeon,26
Yooyeon,101
Soomin,3
Nakyoung,71
Yubin,34
Kaede,20
Dahyun,45
Kotone,56
Yeonji,4
Nien,64
Sohyun,34
Xinyu,23
Mayu,4
Lynn,12
Joobin,22
Hayeon,29
Shion,16
Chaewon,46
Sullin,7
Seoah,9
Jiyeon,23
