code,NAME,DATE,TYPE,TITLE,DURATION,LINK,ENG SUB,MEMBERS,KEYWORDS,TAG,ERA,SEASON,EPISODE,SOURCE,NOTES,ALT LINKS
2404017,"2024.04.11 [SIGNAL LIVE] SeoYeon, YooYeon, Nien, Xinyu",2024-04-11,LIVE,"[ENG SUB] tripleS Weibo SIGNAL LIVE 240411 (Seoyeon, Yooyeon, Nien, Xinyu) 트리플에스",0:56:37,https://youtu.be/9lzQlDBpB9g,YES,"Nien,Seoyeon,Xinyu,Yooyeon","SIGNAL LIVE,Weibo,chinese,fan-subbed","livestream,official,youtube",ASSEMBLE24,Cream01,,MangoNim,"Members answer questions, read and reply to Weibo posts",
2404018,2024.04.12 [SIGNAL],2024-04-12,SIGNAL,Seongsu-dong becomes SeoAh HAUS from today | EN | SIGNAL 240412,0:05:37,https://youtu.be/faQrfSSeJKI,YES,"Kaede,Kotone,Seoah,Shion","burgers,eating,hanging out,photobooth,restaurant,shopping,taking photos","move-in,official,youtube",ASSEMBLE24,Cream01,SIGNAL 500,tripleS official,,
2404019,2024.04.12 [SIGNAL] COSMO EXCLUSIVE: Cherry Blossoms with GLOW,2024-04-12,SIGNAL,Wanna go see cherry blossom with tripleS GLOW | COSMO exclusive,0:03:22,https://youtu.be/5ZCQRlsweDQ,YES,"Chaewon,Jiyeon,Seoah,Sullin","behind,cherry blossoms,fan-subbed,glow,photoshoot","official,youtube",ASSEMBLE24,Cream01,,watchWAV,,
2404020,2024.04.13 [WEB DRAMA] What's Up Ep.2,2024-04-13,Drama,100만뷰짜리 주접 [요즘 뭐해] Ep.2 (SUB),0:07:44,https://youtu.be/WmxK4p-jBaw,YES,Yooyeon,web drama,"drama,youtube",ASSEMBLE24,Cream01,2,MEME STUDIO,,
2404021,2024.04.13 [SIGNAL],2024-04-13,SIGNAL,"Welcome JiYeon, the final S of tripleS! | EN | SIGNAL 240413",0:09:41,https://youtu.be/vc2xgjaqBR0,YES,"Chaeyeon,Jiyeon,Seoyeon","cafe,eating,hanging out,restaurant","move-in,official,youtube",ASSEMBLE24,Cream01,SIGNAL 501,tripleS official,,
2404022,2024.04.14 [SHORTS] Cherry Blossom Sullin Is Here,2024-04-14,Shorts,Cherry Blossom Sullin Is Here~!🌸 #tripleS #트리플에스 #Sullin,0:00:17,https://youtu.be/XcFwqnwdXEA,,Sullin,"cherry blossoms,photoshoot,shorts,tiktok","official,shorts,tiktok,youtube","ARIA,NXT",Cream01,,tripleS official,,
2404023,2024.04.14 [SHORTS] Cherry Blossom ChaeWon Is Here,2024-04-14,Shorts,Cherry Blossom ChaeWon Is Here~!🌸 #tripleS #트리플에스 #ChaeWon,0:00:15,https://youtu.be/auIdmz0X93o,,Chaewon,"cherry blossoms,photoshoot,shorts,tiktok","official,shorts,tiktok,youtube","ARIA,NXT",Cream01,,tripleS official,,
2404024,2024.04.14 [SHORTS] Cherry Blossom SeoAh Is Here,2024-04-14,Shorts,Cherry Blossom SeoAh Is Here~!🌸 #tripleS #트리플에스 #SeoAh,0:00:20,https://youtu.be/sagbfpZDIJA,,Seoah,"cherry blossoms,photoshoot,shorts,tiktok","official,shorts,tiktok,youtube","ARIA,NXT",Cream01,,tripleS official,,
2404025,2024.04.14 [SHORTS] Cherry Blossom JiYeon Is Here,2024-04-14,Shorts,Cherry Blossom JiYeon Is Here~!🌸 #tripleS #트리플에스 #JiYeon,0:00:19,https://youtu.be/XyA4AruHhMs,,Jiyeon,"cherry blossoms,photoshoot,shorts,tiktok","official,shorts,tiktok,youtube","ARIA,NXT",Cream01,,tripleS official,,
2404026,2024.04.14 [SecretBase] JiYeon,2024-04-14,SecretBase,SecretBase 240412 JiYeon.SSS [ EN ],0:06:06,https://youtu.be/uwZA6yB6eiU,YES,Jiyeon,self-cam,"official,youtube",ASSEMBLE24,Cream01,,tripleS official,,
2404027,2024.04.15 [SIGNAL],2024-04-15,SIGNAL,"April 12th, the happy birthday of HyeRin and Lynn (feat. WAV) | EN | SIGNAL 240415",0:08:28,https://youtu.be/263OpIvF4BA,YES,"Hyerin,Lynn","birthday,birthday cafe,birthday cake","official,youtube",ASSEMBLE24,Cream01,SIGNAL 502,tripleS official,,
